iid,whiskey
0,"Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)"
1,Ledaig 42yo Dusgadh
2,"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)"
3,Glenfarclas 40yo
4,Glengoyne 25yo
5,Amrut Spectrum (Batch 1)
6,Highland Park 25yo
7,Highland Park 40yo
8,Tamdhu 30yo (MacPhail Collection 2009)
9,Balvenie TUN 1401 (all batches)
10,Kavalan Solist Oloroso Sherry Cask
11,Aberlour A'Bunadh (Batch 33)
12,Aberlour A'Bunadh (Batch 37)
13,Highland Park 30yo
14,Laphroaig 25yo
15,Nikka Single Cask Coffey Malt 12yo
16,Aberlour A'Bunadh (Batch 40)
17,Yamazaki 18yo
18,Aberlour A'Bunadh (Batch 49)
19,Redbreast 21yo
20,Yamazaki Sherry Cask (all vintages)
21,Aberlour A'Bunadh (Batch 56)
22,Bruichladdich 21yo Cuvee 407 PX
23,Compass Box Last Vatted Malt
24,Amrut Greedy Angels (8yo and 10yo)
25,BenRiach 18yo Albariza Pedro Ximenez Peated
26,Bowmore Springtide
27,Highland Park 16yo Odin
28,GlenDronach Cask Strength (batch 1)
29,Kavalan Solist Vinho Barrique
30,Aberlour A'Bunadh (Batch 53)
31,GlenDronach Cask Strength (batch 2)
32,Macallan Cask Strength
33,Sheep Dip Old Hebridean 1990 Blended Malt
34,Aberlour A'Bunadh (Batch 39)
35,Highland Park 18yo
36,Karuizawa 1990 Sherry Butt
37,Kavalan Solist PX Cask
38,Timorous Beastie 21yo Sherry Edition
39,Amrut Spectrum 004 (Batch 2)
40,GlenDronach vintage 20yo Single Cask (all vintages)
41,Kavalan Solist Manzanilla Cask
42,Aberlour A'Bunadh (Batch 44)
43,Aberlour A'Bunadh (Batch 52)
44,Kavalan Solist Amontillado Cask
45,Aberlour A'Bunadh (Batch 35)
46,BenRiach 17yo Solstice Peated Port (both editions)
47,Benromach 10yo Cask Strength (100 proof)
48,Highland Park 17yo The Dark
49,Springbank 21yo
50,Aberlour A'Bunadh (Batch 45)
51,Arran Malt 21st Anniversary Edition
52,Laphroaig Cairdeas 2013 Port Wood
53,Nikka Taketsuru 21yo
54,Timorous Beastie 40yo Cask Strength
55,Bladnoch 12yo Sherry Cask (Sheep label)
56,GlenDronach vintage 19yo Single Cask (all vintages)
57,Amrut PX Sherry Single Cask 2696 (LCBO)
58,Highland Park 15yo Loki
59,Kilchoman Port Cask Matured
60,Aberlour A'Bunadh (Batch 36)
61,Amrut Portonova
62,Bowmore 15yo Laimrig
63,Bushmills 21yo Single Malt
64,Glenlivet Alpha
65,Aberlour A'Bunadh (Batch 30)
66,Aberlour A'Bunadh (Batch 42)
67,AnCnoc 1975
68,Glenmorangie Signet
69,Hakushu Sherry Cask
70,Kavalan Solist Sherry Cask
71,Macallan 10yo Sherry Oak Cask Strength
72,Aberlour A'Bunadh (Batch 58)
