whiskey,user
ardbeg-ten,4774
ardbeg-uigeadail,4152
lagavulin-16-year-old,3780
glendronach-21-year-old-parliament,3010
dalwhinnie-15-year-old,2014
clynelish-14-year-old,1702
dalmore-12-year-old,898
clynelish-reserve-house-tyrell,628
octomore-edition-071-208,597
kilkerran-08-year-old,546
glen-scotia-14-year-old,536
laphroaig-cairdeas,500
glengoyne-cask-strength,493
ardbeg-supernova,464
aberlour-casg-annamh,440
flaming-heart-5th-edition-cb,433
glenfiddich-snow-phoenix,408
deanston-10-year-old,388
old-ballantruan-the-peated-malt,387
caol-ila-1983,381
kavalan-solist,372
talisker-35-year-old,371
yoichi-15-year-old,356
highland-park-valknut,352
macallan-15-year-old,349
port-ellen-10th-release,342
aberfeldy-21-year-old,341
isle-of-jura-turas-mara,338
glen-garioch-the-renaissance,327
talisker-2000,327
highland-park-freya,326
highland-park-17-year-old,315
highland-park-saint-magnus,308
peat-islay-blended-malt-scotch-whisky-sms,305
macallan-select-oak,301
glen-moray-elgin-classic,300
port-charlotte-pc11,300
royal-lochnagar-12-year-old-house-baratheon,293
highland-park-sigurd,288
balvenie-14-year-old,281
flaming-heart-6th-edition-cb,279
glenfiddich-21-year-old-winter-storm,268
port-charlotte-pc10,267
caol-ila-1997,263
glen-moray-16-year-old,261
aberlour-abunadh-batch-50,261
ledaig-19-year-old,259
octomore-edition-092-156-ppm,258
redbreast-lustau-edition,252
caol-ila-1982,252
macallan-25-year-old,250
talisker-30-year-old,249
dalmore-port-wood-reserve,247
aultmore-18-year-old,246
longrow-2000,244
bowmore-no-1,241
aberlour-12-year-old,239
port-ellen-4th-release,237
glengoyne-17-year-old,237
kilchoman-original-cask-strength,232
auchentoshan-classic,225
bowmore-mariner,223
paul-john-peated-select-cask,222
arran-lochranza-reserve,221
octomore-10-year-old,221
glenfiddich-15-year-old,218
taketsuru-12-year-old,211
tullibardine-25-year-old,210
kilchoman-2012,209
tomatin-c-bcan,205
tullibardine-20-year-old,204
karuizawa-19992000,203
bunnahabhain-2008,202
longrow-10-year-old,200
glen-garioch-1999,199
ichiros-mwr,198
mackmyra-blomstertid,198
miyagikyo-10-year-old,198
glenrothes-robur-reserve,198
nikka-pure-malt-red,197
kilchoman-px-sherry-cask-matured,197
hakushu-18-year-old,195
oak-cross-the-signature-range-cb,195
the-singleton-of-dufftown-spey-cascade,194
paul-john-classic-select-cask,194
balblair-12-year-old,193
benriach-15-year-old-sauternes,192
spice-tree-extravaganza-cb,191
speyburn-10-year-old,191
glenfarclas-12-year-old,191
tomintoul-12-year-old-oloroso,191
aberlour-abunadh-batch-56,191
bowmore-vault-edit1n,191
benromach-10-year-old,190
three-year-old-deluxe-blended-malt-scotch-whisky-cb,190
ledaig-1996,189
mackmyra-svensk-ek,188
glen-grant-12-year-old,188
amrut-cask-strength,188
benriach-12-year-old,188
aberlour-abunadh-batch-44,186
bunnahabhain-25-year-old,185
penderyn-legend,184
octomore-edition-084-masterclass-170-ppm,184
paul-john-edited,183
aberlour-abunadh-batch-59,183
macallan-edition-no-1,182
kilchoman-2008,181
redbreast-15-year-old,181
octomore-edition-103-114-ppm,181
miltonduff-10-year-old-gm,180
glenrothes-sherry-cask-reserve,180
an-cnoc-cutter,180
hazelburn-08-year-old,180
mackinlays-shackletons-the-discovery-edition,179
mackmyra-10-year-old,179
kilchoman-loch-gorm,179
kavalan-ex-bourbon-oak,178
glencadam-14-year-old,178
amrut-naarangi,178
bruichladdich-black-art-071,178
hanyu-1985-2000,178
the-singleton-of-glen-ord-18-year-old,177
glenglassaugh-26-year-old,176
amrut-2009,176
glenmorangie-the-taghta,176
glenlivet-cipher,174
glen-scotia-25-year-old,173
loch-lomond-nas,172
benriach-21-year-old-tawny-port-finish,172
benromach-traditional,171
glenrothes-10-year-old,171
arran-2004,171
tormore-12-year-old,170
scallywag-13-year-old-dl,170
amrut-spectrum,170
a-speyside-distillery-2010-eld,169
ledaig-18-year-old,168
old-pulteney-huddart,167
isle-of-jura-18-year-old,167
phenomenology-nas-cb,167
balvenie-tun-1401,166
port-ellen-16th-release,166
the-singleton-of-dufftown-18-year-old,165
benriach-peated-quarter-casks,165
machrie-moor-cask-strength,165
aberfeldy-18-year-old,165
penderyn-myth,164
aberlour-abunadh-batch-65,164
aberlour-abunadh-batch-62,164
octomore-edition-111-1396-ppm,164
tullamore-dew-14-year-old,163
benriach-12-year-old-horizons,162
isle-of-jura-seven-wood,162
bunnahabhain-cebanach,161
glenlivet-captains-reserve,161
caol-ila-15-year-old,161
glen-grant-the-majors-reserve,161
the-singleton-of-dufftown-tailfire,161
knockando-12-year-old,160
mortlach-18-year-old,160
octomore-edition-113-194-ppm,160
midleton-very-rare,159
nikka-nas,159
the-peat-monster-4th-edition-cb,158
enlightenment-nas-cb,157
tomatin-40-year-old,157
octomore-edition-104-88-ppm,154
bruichladdich-2009-islay-barley,154
robert-burns-single-malt-scotch-whisky,154
midleton-barry-crockett-legacy,152
kilchoman-coull-point,152
miyagikyo-15-year-old,151
ben-nevis-macdonalds-traditional,151
kilchoman-sherry-cask-release,150
benriach-birnie-moss,150
port-ellen-17th-release,150
redbreast-12-year-old,149
aberlour-abunadh-batch-52,149
arran-port-cask-finish,149
royal-brackla-16-year-old,149
glenlivet-18-year-old,148
red-spot-15-year-old,147
arran-sauternes-cask-finish,146
glen-deveron-10-year-old,146
port-ellen-15th-release,145
arran-25-year-old,145
glenrothes-18-year-old,144
glenmorangie-the-tarlogan,144
ichiros-double-distilleries,144
chichibu-2008,143
glen-scotia-12-year-old,142
glenfiddich-vintage-cask,141
laphroaig-1980,141
mackmyra-brukswhisky,141
port-ellen-7th-release,140
amrut-spectrum-004,140
benriach-10-year-old,139
port-ellen-14th-release,138
the-lost-blend-blended-malt-scotch-whisky-cb,138
glencadam-12-year-old,137
tamdhu-batch-strength,136
benriach-18-year-old-dunder,136
highland-park-15-year-old,136
kilchoman-2010-winter-release,136
glengoyne-teapot-dram,135
macallan-18-year-old,135
balblair-18-year-old,133
timorous-beastie-21-year-old-dl,132
laphroaig-25-year-old,132
mars-maltage-cosmo,131
tamnavulin-12-year-old,130
kilchoman-100-islay,130
dalmore-gran-reserva,130
glen-garioch-1994,130
bruichladdich-black-art-081,129
flaming-heart-4th-edition-cb,129
glenfiddich-select-cask,129
teerenpeli-kaski,129
kilchoman-2009,129
mortlach-15-year-old-gm,128
chichibu-on-the-way,128
old-pulteney-navigator,128
mackinlays-shackleton,127
aberlour-abunadh-batch-39,127
auchentoshan-21-year-old,127
the-peat-monster-3rd-edition-cb,127
glen-garioch-1998,127
glen-garioch-1995,126
glenrothes-alba-reserve,126
kilchoman-2011-spring-release,126
aultmore-25-year-old,126
macallan-reflexion,125
glenfarclas-40-year-old,124
royal-brackla-21-year-old,123
bushmills-21-year-old,123
timorous-beastie-18-year-old-dl,122
bruichladdich-2009-the-organic,122
glenturret-10-year-old-peat-smoked,122
mackmyra-skrdetid,121
balblair-1989,121
aberlour-abunadh-batch-37,121
macallan-gold,120
glenfiddich-caoran-reserve,120
amrut-08-year-old,120
glenfiddich-excellence,119
kilchoman-10th-anniversary-release,119
springbank-18-year-old,117
an-cnoc-1975,115
aberlour-abunadh-batch-34,115
oban-21-year-old,115
the-singleton-of-dufftown-12-year-old,115
balblair-16-year-old,114
bowmore-small-batch,114
macallan-21-year-old,113
knappogue-castle-12-year-old,112
an-cnoc-flaughter,111
tomatin-decades-ii,111
kininvie-1990,110
benromach-05-year-old,110
mortlach-special-strength,110
longmorn-the-distillers-choice,109
bowmore-mizunara-cask-finish,109
the-double-single-third-edition-cb,108
aberlour-abunadh-batch-38,108
the-singleton-of-glen-ord-12-year-old,107
mackinlays-shackletons-journey-rare-old-highland-malt,107
old-pulteney-25-year-old,107
an-cnoc-2000,106
balblair-2000,106
aberlour-abunadh-batch-42,106
no-name-n-2-cb,106
glenlivet-ndurra-peated,105
