whiskey,user
glendronach-1972,1302
springbank-1966,909
ardbeg-1974,745
ardbeg-1976,658
glendronach-1971,513
ardbeg-1975,494
springbank-100-proof,421
glenglassaugh-1972,420
bowmore-1964-black,393
bowmore-1968-dt,379
macallan-10-year-old,365
ardbeg-1972,335
bowmore-1966-dt,334
glenfarclas-1959,331
ardbeg-1974-provenance,318
glenfarclas-1961,315
glen-grant-1956-gm,308
bowmore-1970-sv,304
springbank-1969-sv,293
ardbeg-1967-sv,286
bowmore-1968,273
macallan-1970-gm,266
glenfarclas-1968,259
brora-1972,250
brora-1972-dl,247
springbank-1965,244
karuizawa-1967,235
ben-nevis-1967,234
glenglassaugh-40-year-old,233
bowmore-1972,233
glen-garioch-1971-sa,230
macallan-1972-gm,227
bowmore-1972-sv,226
macallan-1967,225
bowmore-bicentenary,207
macallan-1966-gm,198
glen-grant-1955-gm,195
macallan-25-year-old,192
ben-nevis-1966,188
glenfarclas-1965,183
macallan-1968-dt,180
macallan-1972,180
bowmore-1968-sv,178
speyside-region-1973-twa,175
laphroaig-1966-sv,171
mortlach-1936-gm,171
glenfarclas-1966,169
glen-grant-1950-gm,169
springbank-1970,168
glenglassaugh-1968-the-managers-legacy,167
mortlach-1954-gm,167
laphroaig-30-year-old,166
glen-grant-1958-gm,166
glenfarclas-1954,163
lagavulin-37-year-old,163
linlithgow-1973,163
bowmore-1965,159
brora-15th-release,158
highland-park-1967-dt,156
longmorn-1964-gm,156
port-ellen-1982-mos,155
port-ellen-13th-release,155
highland-park-thorfinn,153
port-ellen-12-year-old-jm,153
macallan-1965,153
glendronach-1968,151
macallan-1971-gm,149
glenfarclas-1956,148
macallan-1964,148
glenfarclas-1972,147
glenfarclas-1967,147
springbank-1967,145
longmorn-1972-twa,144
laphroaig-1980,141
ardbeg-1972-dl,141
glenglassaugh-1967,140
glenfarclas-1970,140
springbank-1970-sv,140
macallan-1950-gm,140
glenfarclas-1960,139
port-ellen-16th-release,139
bunnahabhain-1968,138
macallan-1973-gm,136
glen-grant-1953-gm,135
bowmore-1956,135
bowmore-1966-hb,134
laphroaig-30-year-old-cirdeas,131
bowmore-1964-bicentenary,131
glenfarclas-1962,130
laphroaig-1981,128
glenglassaugh-37-year-old,126
glen-garioch-1968,125
macallan-1971,124
glen-grant-1952-gm,124
mortlach-1957-gm,122
tullibardine-1965,122
glenglassaugh-1974-the-managers-legacy,120
dalmore-40-year-old,120
glenury-royal-1970,120
macallan-1968,120
macallan-1967-gm,119
laphroaig-40-year-old,118
macallan-1940-gm,117
glenfarclas-1964-nc,114
ardbeg-1974-rwd,114
laphroaig-1970-rwd,113
longmorn-1969-gm,112
port-ellen-15th-release,112
glenglassaugh-43-year-old,112
bowmore-1969-dt,111
the-prestonfield-1965-mbo,109
laphroaig-21-year-old-heathrow,109
macallan-1974,109
glenfarclas-105,108
bowmore-30-year-old-sea-dragon,105
glenglassaugh-1967-the-managers-legacy,105
macallan-30-year-old,103
springbank-1972,102
springbank-35-year-old,101
glenfarclas-40-year-old,101
glenfarclas-1955,100
glen-moray-1959-rwd,100
laphroaig-1974,99
glenfarclas-1953,99
strathisla-1963-gm,97
bowmore-1964-white,97
glen-grant-1951-gm,97
port-ellen-17th-release,96
speyside-1973-adf,96
macallan-1966-sv,96
ledaig-1972,95
ardbeg-1975-dl,95
port-ellen-1969-gm,94
longrow-1973,94
glenfarclas-43-year-old,94
springbank-1962,92
bunnahabhain-1968-mos,92
bowmore-1964,91
tullibardine-1964,91
glen-grant-1949-gm,91
glenfarclas-1957,90
macallan-1946,90
bowmore-1964-gold,90
macallan-1963,89
macallan-1969,89
macallan-1961,89
bowmore-1966-sa,89
macallan-1957,88
fettercairn-1978,88
glenfarclas-1963,87
macallan-1968-gm,86
springbank-1968-im,86
bowmore-1966-dl,86
springbank-1967-sv,86
springbank-30-year-old,85
tullibardine-1966,84
ardbeg-1967-kb,83
glen-garioch-1971,82
macallan-1970,82
talisker-1955-gm,82
lagavulin-12-year-old-pure-islay-malt,81
glenfarclas-1964,80
macallan-1968-mm,80
tormore-1966-rwd,79
glen-grant-1954-gm,79
glenglassaugh-1968,79
bowmore-1967,78
glenfarclas-21-year-old,78
ardbeg-1973,77
bowmore-1969,77
mortlach-1936-gm-decanter,77
macallan-1971-sv,76
glenfarclas-1958,75
glen-grant-1969-rwd,75
macallan-1938-gm,75
bowmore-07-year-old-sherriffs,73
glenury-royal-50-year-old,73
bowmore-1973,72
macallan-1968-sv,71
glenfarclas-1966-fino-casks,71
karuizawa-1965,71
mortlach-70-year-old-gm-generations,71
macallan-1965-sv,69
ayrshire-1974-rare-sv,69
dallas-dhu-1982,68
caol-ila-15-year-old,68
macallan-1974-gm,68
macallan-1969-dt,67
macallan-1967-dt,66
macallan-1937-gm,66
glengoyne-1969,66
macallan-40-year-old,65
macallan-1960,65
mortlach-1962-rwd,65
ord-1962-sa,65
longmorn-1971-ses,64
springbank-1965-ca,64
bowmore-1971,63
laphroaig-1967-rwd,63
auchentoshan-1957,63
bowmore-1964-fino-cask,62
ardbeg-1972-dl-ardbeggeddon,62
glen-garioch-1973,62
mortlach-1951-gm,61
nikka-40-year-old,61
longmorn-1964-rwd,61
glen-grant-1948-gm,61
longmorn-1974-sa,61
port-ellen-1982-tb,60
macallan-1965-cm,59
highland-park-50-year-old,58
glenglassaugh-41-year-old,58
glenfarclas-1959-sv,58
macallan-1958,57
glen-garioch-1975-sa,57
macallan-private-eye,57
dalmore-1973,57
caol-ila-1968-rwd,57
glen-grant-1964-sv,57
macallan-1972-hb,57
macallan-1951,56
brora-1972-dl-brorageddon,56
bowmore-1964-oloroso,56
springbank-1965-sa,56
bowmore-1971-ses,56
caol-ila-1968-gm,56
ardbeg-1967-dl,56
longrow-1973-sa,55
dalmore-1981,55
glenugie-1966-rwd,54
talisker-1957-gm,53
macphails-1937-gm,53
glenugie-1967-ses,53
glenfarclas-1958-sv,53
springbank-1967-dl,53
longrow-1974-sa,52
ardbeg-1815,51
port-ellen-5th-release,51
ardbeg-1974-kb,51
highland-park-1968,51
dalmore-50-year-old,50
glenfarclas-1969,50
bowmore-1963-anniversary,49
springbank-1967-dt,49
strathisla-1967-rwd,49
glenglassaugh-1966,49
glen-cawdor-1964-rwd,49
glen-grant-50-year-old-gm,49
macallan-1975,49
ledaig-1972-ac,48
highland-park-1955-it,48
highland-park-1955-gm,48
macphails-1938-gm-decanter,47
macallan-1940,47
macallan-1973-mm,47
bowmore-1966-jw,47
macallan-1954,47
ardbeg-1973-kb,46
caol-ila-1974-jm,46
highland-park-1964,46
bruichladdich-40-year-old,46
springbank-1964-ad,45
glenlivet-1954-gm,45
glendronach-27-year-old,45
mortlach-1938-gm,45
bowmore-1966-kb,44
glen-moray-1959,44
bowmore-1965-it,43
probably-speysides-finest-1966-dl,43
glenlochy-1952-dl,43
glenlivet-1955-rwd,43
port-ellen-1981-rwd,42
blairfindy-1964-ba-presentation-edition,42
springbank-1969-im,42
longrow-1973-rwd,42
highland-park-1959,41
karuizawa-1964,41
macallan-1959,40
port-ellen-1983-dl,40
ardbeg-1975-rwd,40
glen-cawdor-1951-rwd,40
strathisla-1955-gm,40
bowmore-1968-hb,40
glenglassaugh-30-year-old,39
highland-park-35-year-old,39
bowmore-1966-hsc,38
bruichladdich-10-year-old,38
pride-of-strathspey-1938-jg,37
glenfarclas-1956-sherry-casks,37
glenfarclas-1952,37
springbank-1964-private-bottling,37
highland-park-1958,37
longrow-1974,37
port-ellen-port-ellen-maltings,37
port-ellen-1981-tb,36
dalmore-1974,36
bowmore-1968-mm,36
macphails-1950-gm,35
tomatin-1962,35
the-prestonfield-1966-mbo,35
glenrothes-1969-mnc,35
glen-grant-27-year-old-rwd,35
glen-garioch-1972,35
bowmore-1964-bourbon,35
ardbeg-1973-sa,35
bowmore-1966,35
springbank-1973-ca,34
macallan-195859,34
mortlach-1949-gm,34
bowmore-1957,34
st-magdalene-1978,34
bowmore-1968-twt,34
macallan-1961-br,34
glenrothes-1966,34
pride-of-strathspey-1937-gm-decanter,33
longrow-14-year-old,33
macallan-1965-gm,33
clynelish-1965-rwd,32
macallan-coronation-bottling,32
dalmore-1978,32
glenfarclas-40-year-old-scottish-classic,32
balvenie-1952-cask-191,32
ardbeg-1973-rwd,32
glenlivet-1968,32
macallan-1955,32
highland-park-1966-dt,31
glenfiddich-1983,31
glenglassaugh-1960,31
springbank-1963-ca,31
ardbeg-1959-ca,30
glenfiddich-1974,30
macallan-cask-888,30
bowmore-12-year-old,30
macallan-1950,30
talisker-1956-gm,30
largiemeanoch-1967,30
macphails-1938-gm,30
macallan-18-year-old-ca,29
glen-moray-1962-mm,29
macallan-diamond-jubilee,29
bowmore-1984-vintage,29
port-ellen-11th-release,29
mortlach-1938-gm-decanter,29
bowmore-1983-vintage,29
bowmore-1966-de,28
glen-garioch-1972-ud,28
macallan-10-year-old-gm,28
highland-park-40-year-old,28
ardbeg-1974-ca,28
mortlach-1959-gm,28
ardbeg-1973-dl,28
ardbeg-1972-sv,28
mortlach-1930-ud,27
glen-grant-1948-gm-decanter,27
mortlach-1939-gm-generations,27
caol-ila-1969-gm,27
mortlach-1939-gm-decanter,27
balvenie-1974-rwd,27
ardbeg-1975-gm,26
bowmore-1968-ts,26
macallan-1952-80-proof,26
glenlivet-1955-gm,26
highland-park-1965-dt,26
macallan-1947,26
bowmore-1964-mi,26
glenglassaugh-1974,26
bowmore-1965-hb,25
glenfarclas-60-year-old,25
macallan-1969-mm,25
macallan-1968-de,25
dalmore-45-year-old-aurora,25
tullibardine-1966-sv,25
glenfarclas-1971,25
bowmore-1964-rwd,25
glen-gordon-1957-gm,25
springbank-1969,25
springbank-1969-dl,25
bowmore-1970,25
bowmore-08-year-old-sherriffs,25
ben-nevis-1967-hsc,24
macallan-1966,24
balvenie-40-year-old,24
port-ellen-12-year-old,24
springbank-1965-soh,24
springbank-1972-im,24
macallan-1948,24
macallan-limited-release-mmxii,24
macallan-1939-gm,24
springbank-1965-lb,24
springbank-10-year-old,24
glen-grant-1964-jm,23
macallan-1937,23
bowmore-1983,23
glen-grant-1957-gm,23
macallan-1971-hb,23
