,Fresh Fruit,Added on,Sweaty,Member ratings,Bottled for,Wishlist num,Leafy,Oily,Bottler,Collection,All Rating,Whiskybase ID,Kippery,Citric,Sherried,Mossy,Nutty,Toasted,Plastic,Solvent,Barcode,Medicinal,Coal-gas,Husky,Yeasty,Hay-like,Leathery,Vegetative,Dried Fruit,Calculated age,Category,Strength,Casktype,Green-House,New Wood,Number of bottles,Honey,Price,Bottled,Distillery,Vanilla,Malt Extract,Vintage,Cooked Fruit,Tobacco,Chocolate,Bottle code,Casknumber,Stated Age,Smokey,Market,Cooked Vegetable,Old Wood,Cooked Mash,Rubbery,Votes,Size,Fragant,Sandy,Bottling serie,Label
0,1,26 Jul 2011 1:19 pm,0,42,Imported by S. Samaroli,121,0,1,R. W. Duthie & Co. (RWD),45,96.31,WB24413,0,1,1,0,1,0,0,0,NaN,0,2,0,0,0,1,0,1,NaN,Single Malt,57.0 % Vol.,Sherry Cask,0,0,720,0,€ 65431.00,1982,Laphroaig,0,0,1967,1,1,2,NaN,NaN,15 years old,1, Italy,0,1,0,0,42,750 ml,0,1,NaN,NaN
1,0,28 Jun 2011 4:56 pm,0,20,"Osteria Apostoli, Milan - Imported by Samaroli",78,0,0,R. W. Duthie & Co. (RWD),29,96.06,WB23249,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,57.1 % Vol.,NaN,0,0,NaN,0,€ 8999.00,1984,Laphroaig,0,0,1970,0,0,0,NaN,4367,14 years old,0, Italy,0,0,0,0,20,750 ml,0,0,NaN,NaN
2,0,05 Jun 2009 1:20 pm,0,65,NaN,145,0,0,Samaroli (Sa),53,96.05,WB8854,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,53.0 % Vol.,NaN,0,0,720,0,€ 69844.00,1984,Bowmore,0,0,1966,0,0,2,NaN,NaN,NaN,0,NaN,0,0,0,0,65,750 ml,0,0,Bouquet,NaN
3,0,03 Dec 2009 5:17 pm,0,23,Samaroli,97,0,0,R. W. Duthie & Co. (RWD),29,95.85,WB12078,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,57.0 % Vol.,Sherry Wood,0,0,360,0,€ 29750.00,1986,Strathisla,0,0,1967,0,0,0,NaN,NaN,NaN,0, Italy,0,0,1,0,23,750 ml,0,0,NaN,NaN
4,0,26 Jul 2010 4:32 pm,0,55,NaN,60,0,0,Distillery Bottling,43,95.69,WB17300,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,49.6 % Vol.,Fino Sherry Cask,0,0,300,0,€ 26249.98,2002,Bowmore,0,0,05.11.1964,0,0,0,NaN,NaN,37 years old,0,NaN,0,0,0,0,55,700 ml 750 ml,0,0,The Trilogy Series,NaN
5,0,22 Nov 2013 7:23 pm,0,19,Geo Cowie & Son Ltd.,63,0,0,UD - bottler (UD),4,95.47,WB46607,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,52.0 % Vol.,NaN,0,0,NaN,0,€ 700.00,14.12.1972,Mortlach,0,0,1930,0,0,0,NaN,112,NaN,0,NaN,0,0,0,0,19,700 ml,0,0,Mort Lach,Ausländisches Erzeugnis
6,0,16 Aug 2012 11:39 am,0,20,NaN,24,0,0,Distillery Bottling,8,95.47,WB34513,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,42.9 % Vol.,Fino Sherry Finish,0,0,72,0,€ 29680.16,2012,Bowmore,0,0,1964,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,20,700 ml,0,0,NaN,NaN
7,0,08 Mar 2010 5:11 pm,0,34,NaN,59,0,1,Distillery Bottling,22,95.44,WB14330,0,1,2,0,1,1,0,0,NaN,0,0,0,0,0,1,0,2,NaN,Single Malt,46.0 % Vol.,Sherry Cask,0,1,NaN,1,€ 9781.50,01.1992,Springbank,0,1,12.1962,0,2,2,NaN,NaN,29 years old,1,NaN,0,1,0,0,34,700 ml,0,0,White Label Big Golden S,NaN
8,1,12 Mar 2010 3:38 pm,0,32,NaN,57,0,1,Distillery Bottling,18,95.33,WB14414,0,1,0,0,0,0,0,0,NaN,0,1,0,0,1,1,0,0,32 years old,Single Malt,56.8 % Vol.,Oak Bourbon Cask,0,0,NaN,1,€ 6400.39,04.1998,Springbank,1,0,02.1966,1,1,1,NaN,1966 493,NaN,1,NaN,0,1,0,0,32,700 ml,0,0,Local Barley,NaN
9,0,17 Mar 2010 3:45 pm,0,27,NaN,15,0,0,Gordon & MacPhail (GM),11,95.32,WB14560,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,40.0 % Vol.,NaN,0,0,NaN,0,€ 10750.00,1986,Mortlach,0,0,1936,0,0,0,NaN,NaN,50 years old,0,NaN,0,0,0,0,27,750 ml,0,0,Celtic Series - Book of Kells,Decanter
10,0,28 Sep 2009 4:08 pm,0,67,Samaroli,60,0,0,R. W. Duthie & Co. (RWD),51,95.29,WB10733,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,16 years old,Single Malt,54.0 % Vol.,NaN,0,0,720,0,€ 2365.00,1986,Laphroaig,0,0,1970,0,0,0,NaN,NaN,NaN,0, Italy,0,0,0,0,67,750 ml,0,0,NaN,NaN
11,0,24 Mar 2010 12:24 pm,0,31,NaN,35,0,1,Distillery Bottling,17,95.28,WB14861,0,0,1,0,1,0,0,0,NaN,0,0,0,0,0,1,0,1,NaN,Single Malt,48.8 % Vol.,Sherry Hogshead,0,0,147,0,€ 6450.00,13.08.2009,Glenfarclas,0,0,1959,1,1,1,NaN,1838,50 years old,0,NaN,0,1,0,0,31,60 ml 700 ml,1,0,The Family Casks (Release IV),NaN
12,0,29 Jun 2009 12:12 pm,0,116,NaN,190,0,0,Distillery Bottling,69,95.27,WB9260,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,57.1 % Vol.,Sherry Wood,0,0,2400,0,€ 10087.69,1982,Springbank,0,0,NaN,0,0,0,NaN,NaN,12 years old,0,NaN,0,0,0,0,116,750 ml,0,0,Imported by Samaroli,NaN
13,0,13 Jan 2008 2:48 pm,0,49,NaN,90,0,0,Distillery Bottling,60,95.26,WB1306,0,0,0,0,0,0,0,0,NaN,1,1,0,0,0,0,0,0,22 years old,Single Malt,56.0 % Vol.,Sherry Butt,0,0,497,0,€ 9872.03,23.06.1999,Ardbeg,0,0,24.11.1976,0,0,0,NaN,2391,NaN,0,NaN,0,0,0,0,49,700 ml,0,0,Manager's Choice,NaN
14,0,03 Dec 2009 2:42 pm,0,62,NaN,44,0,0,Samaroli (Sa),35,95.22,WB12055,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,58.0 % Vol.,NaN,0,0,720,0,€ 20740.60,1984,Glen Ord,0,0,1962,0,0,0,NaN,NaN,22 years old,0,NaN,0,0,0,0,62,750 ml,0,0,Bouquet,NaN
