,whisky,title,links,image_links,img_path
0,"Macallan 10yo Full Proof 57% 1980 (OB, Giovinetti & Figli)",Macallan 10-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/8627/macallan-10-year-old,https://static.whiskybase.com/storage/whiskies/8/6/27/98145-big.jpg,/opt/ml/workspace/images/0.jpg
1,Ledaig 42yo Dusgadh,Ledaig 1972 - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/65422/ledaig-1972,https://static.whiskybase.com/storage/whiskies/6/5/422/110416-big.jpg,/opt/ml/workspace/images/1.jpg
2,"Laphroaig 27yo 57.4% 1980-2007 (OB, 5 Oloroso Casks, 972 Bts)",Laphroaig 1980 - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/633/laphroaig-1980,https://static.whiskybase.com/storage/whiskies/6/3/3/55266-big.jpg,/opt/ml/workspace/images/2.jpg
3,Glenfarclas 40yo,Glenfarclas 40-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/86648/glenfarclas-40-year-old,https://static.whiskybase.com/storage/whiskies/8/6/648/170030-big.jpg,/opt/ml/workspace/images/3.jpg
4,Glengoyne 25yo,Glengoyne 25-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/53814/glengoyne-25-year-old,https://static.whiskybase.com/storage/whiskies/5/3/814/103234-big.jpg,/opt/ml/workspace/images/4.jpg
5,Amrut Spectrum (Batch 1),Amrut Spectrum - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/77825/amrut-spectrum,https://static.whiskybase.com/storage/whiskies/7/7/825/120535-big.jpg,/opt/ml/workspace/images/5.jpg
6,Highland Park 25yo,Highland Park 25-year-old - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/73617/highland-park-25-year-old,https://static.whiskybase.com/storage/whiskies/7/3/617/87532-big.jpg,/opt/ml/workspace/images/6.jpg
7,Highland Park 40yo,Highland Park 40-year-old - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/1706/highland-park-40-year-old,https://static.whiskybase.com/storage/whiskies/1/7/06/56359-big.jpg,/opt/ml/workspace/images/7.jpg
8,Tamdhu 30yo (MacPhail Collection 2009),Tamdhu 30-year-old GM - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/369/tamdhu-30-year-old-gm,https://static.whiskybase.com/storage/whiskies/3/6/9/54968-big.jpg,/opt/ml/workspace/images/8.jpg
9,Balvenie TUN 1401 (all batches),Balvenie Tun 1401 - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/22143/balvenie-tun-1401,https://static.whiskybase.com/storage/whiskies/2/2/143/216092-big.jpg,/opt/ml/workspace/images/9.jpg
10,Kavalan Solist Oloroso Sherry Cask,Kavalan Solist - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/125388/kavalan-solist,https://static.whiskybase.com/storage/whiskies/1/2/5388/212506-big.jpg,/opt/ml/workspace/images/10.jpg
11,Aberlour A'Bunadh (Batch 33),Aberlour A'bunadh batch #33 - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/19355/aberlour-abunadh-batch-33,https://static.whiskybase.com/storage/whiskies/1/9/355/68189-big.jpg,/opt/ml/workspace/images/11.jpg
12,Aberlour A'Bunadh (Batch 37),Aberlour A'bunadh batch #37 - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/25292/aberlour-abunadh-batch-37,https://static.whiskybase.com/storage/whiskies/2/5/292/71183-big.jpg,/opt/ml/workspace/images/12.jpg
13,Highland Park 30yo,Highland Park 30-year-old - Ratings and reviews,https://www.whiskybase.com/whiskies/whisky/317/highland-park-30-year-old,https://static.whiskybase.com/storage/whiskies/3/1/7/217305-big.jpg,/opt/ml/workspace/images/13.jpg
14,Laphroaig 25yo,Laphroaig 25-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/118318/laphroaig-25-year-old,https://static.whiskybase.com/storage/whiskies/1/1/8318/301597-big.jpg,/opt/ml/workspace/images/14.jpg
15,Nikka Single Cask Coffey Malt 12yo,Nikka 12-year-old - Ratings and reviews - Whiskybase,https://www.whiskybase.com/whiskies/whisky/57604/nikka-12-year-old,https://static.whiskybase.com/storage/whiskies/5/7/604/228144-big.jpg,/opt/ml/workspace/images/15.jpg
